Task,Dataset,Library,Hydrolysis_Method_ID,Hydrolysis_Method,Enzyme(s),Probability_Tier,Probability group,Count,Unique sequences,Mean_Probability,Median_Probability,Mean_Length,Download_File,Pool file,Filtered file,N/C terminal analysis,MEME output,Status
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Papain,Papain,Papain,Reported,Reported,87,87,0.8068405319907498,0.9010377919901656,2.367816091954023,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Papain.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Papain.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Papain.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Papain,Papain,Papain,No reported,No reported,335943,335943,0.3659848744596303,0.250543938884003,6.743929773800913,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Papain.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Papain.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Papain.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Papain,Papain,Papain,< 0.50,< 0.50,232406,232406,0.2005600853900356,0.1574533217940588,6.601817509014397,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_lt_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Papain,Papain,Papain,>= 0.50,>= 0.50,103624,103624,0.7373666776202246,0.7513829153164902,7.058982475102293,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_gte_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Papain,Papain,Papain,>= 0.85,>= 0.85,26595,26595,0.8923271572141104,0.8926052586566657,6.971686407219402,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_gte_0.85.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Papain,Papain,Papain,>= 0.90,>= 0.90,10884,10884,0.9164516835973576,0.9158814204307048,6.9226387357589125,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_gte_0.90.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_gte_0.90.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_gte_0.90.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Pepsin,Pepsin (pH=1.3),Pepsin (pH=1.3),Reported,Reported,173,173,0.827140919930719,0.9121477445889904,2.6358381502890174,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Pepsin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Pepsin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Pepsin.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Pepsin,Pepsin (pH=1.3),Pepsin (pH=1.3),No reported,No reported,437223,437223,0.3007594099896855,0.1827980565420409,9.418045253794974,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Pepsin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Pepsin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Pepsin.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Pepsin,Pepsin (pH=1.3),Pepsin (pH=1.3),< 0.50,< 0.50,343773,343773,0.1858600428784045,0.1421335719958743,9.68846884426642,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Pepsin_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Pepsin_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Pepsin_lt_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Pepsin,Pepsin (pH=1.3),Pepsin (pH=1.3),>= 0.50,>= 0.50,93623,93623,0.7236294753706948,0.7288075718918741,8.412548198626405,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Pepsin_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Pepsin_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Pepsin_gte_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Pepsin,Pepsin (pH=1.3),Pepsin (pH=1.3),>= 0.85,>= 0.85,21469,21469,0.8934187975749762,0.8938255793058614,7.592854813917742,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Pepsin_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Pepsin_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Pepsin_gte_0.85.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
